0	1	2	3	4	5	6
28	coefficient_product	-0.3910755341568742	-0.3871233963574492	-0.3871233963574492	-0.0039521377994250016	-0.0039521377994250016
29	coefficient_product	-0.38621974411462545	-0.3821425180183087	-0.3821425180183087	-0.004077226096316797	-0.004077226096316797
30	coefficient_product	-0.37474854112060874	-0.3712723316665024	-0.3712723316665024	-0.0034762094541062973	-0.0034762094541062973
31	coefficient_product	-0.3815207538199716	-0.37664102516493225	-0.37664102516493225	-0.004879728655039313	-0.004879728655039313
32	coefficient_product	-0.38559909663681213	-0.3818237359875979	-0.3818237359875979	-0.0037753606492142355	-0.0037753606492142355
33	coefficient_product	-0.3956781530240653	-0.3935804322759581	-0.3935804322759581	-0.0020977207481071678	-0.0020977207481071678
34	coefficient_product	-0.3922060970763896	-0.3874596657282826	-0.3874596657282826	-0.004746431348106974	-0.004746431348106974
35	coefficient_product	-0.3946210615216391	-0.3935577049317795	-0.3935577049317795	-0.0010633565898596098	-0.0010633565898596098
36	coefficient_product	-0.4088452635931201	-0.4048184229931001	-0.4048184229931001	-0.004026840600020032	-0.004026840600020032
37	coefficient_product	-0.3852706561793274	-0.3850129843019487	-0.3850129843019487	-0.0002576718773787079	-0.0002576718773787079
38	coefficient_product	-0.37691036736543726	-0.3713874381776586	-0.3713874381776586	-0.005522929187778614	-0.005522929187778614
39	coefficient_product	-0.3957304919728257	-0.3933473494190162	-0.3933473494190162	-0.0023831425538095147	-0.0023831425538095147
40	coefficient_product	-0.41536652903613624	-0.41239973179530426	-0.41239973179530426	-0.0029667972408319804	-0.0029667972408319804
41	coefficient_product	-0.3769060041747736	-0.3745724399438812	-0.3745724399438812	-0.002333564230892399	-0.002333564230892399
42	coefficient_product	-0.39278195309062286	-0.38856864784793443	-0.38856864784793443	-0.004213305242688431	-0.004213305242688431
43	coefficient_product	-0.40359482298213406	-0.3991430993898074	-0.3991430993898074	-0.004451723592326651	-0.004451723592326651
44	coefficient_product	-0.3922412349354767	-0.38962007627326745	-0.38962007627326745	-0.0026211586622092616	-0.0026211586622092616
45	coefficient_product	-0.39104630344156216	-0.3868203592279992	-0.3868203592279992	-0.004225944213563008	-0.004225944213563008
